id,cp_name,operation_locality,projects_working_on
9022,Metro Channel 22,"[""Powai"", ""Bandra East""]","[""Cedar Enclave Mahalaxmi"", ""Crescent One Seawoods"", ""Palm County Thane West"", ""Pearl Towers Kharghar""]"
9023,Summit Estates 23,"[""Thane West"", ""Borivali"", ""Kandivali""]","[""Aurum Nest Goregaon"", ""Solace Estate Borivali"", ""Nova Gateway Mahalaxmi""]"
9024,Legacy Partners 24,"[""Vikhroli"", ""Chembur"", ""Lower Parel"", ""Vikhroli""]","[""Iris Plaza Wadala"", ""Ambrosia Heights Ghatkopar"", ""Emerald Gardens Goregaon"", ""Marina Arena Borivali""]"
9025,Prime Realty 25,"[""Andheri West"", ""Dadar""]","[""Zenith Grove Airoli"", ""Cedar Enclave Mulund"", ""Crescent One Wadala""]"
9026,Apex Brokers 26,"[""Bandra East"", ""Ghatkopar"", ""Powai""]","[""Maple Vista Andheri West"", ""Aurum Nest Vikhroli"", ""Solace Estate Airoli"", ""Nova Gateway Mulund""]"
9027,Nexus Homes 27,"[""Borivali"", ""Kandivali"", ""Thane West"", ""Borivali""]","[""Amber Square Chembur"", ""Iris Plaza Juhu"", ""Ambrosia Heights Andheri West""]"
9028,Pinnacle Channel 28,"[""Chembur"", ""Lower Parel""]","[""Eden Crest Kandivali"", ""Zenith Grove Kurla"", ""Cedar Enclave Chembur"", ""Crescent One Juhu""]"
9029,Urban Estates 29,"[""Dadar"", ""Mulund"", ""Andheri West""]","[""Orchid Residences Powai"", ""Maple Vista Panvel"", ""Aurum Nest Kandivali""]"
9030,Keystone Partners 30,"[""Ghatkopar"", ""Powai"", ""Bandra East"", ""Ghatkopar""]","[""Harbor Habitat Worli"", ""Amber Square Nerul"", ""Iris Plaza Powai"", ""Ambrosia Heights Panvel""]"
9031,NorthStar Realty 31,"[""Kandivali"", ""Thane West""]","[""Saffron Park Malad"", ""Eden Crest Bandra East"", ""Zenith Grove Worli""]"
9032,Metro Brokers 32,"[""Lower Parel"", ""Vikhroli"", ""Chembur""]","[""Willow Bay BKC"", ""Orchid Residences Dadar"", ""Maple Vista Malad"", ""Aurum Nest Bandra East""]"
9033,Summit Homes 33,"[""Mulund"", ""Andheri West"", ""Dadar"", ""Mulund""]","[""Pearl Towers Kharghar"", ""Harbor Habitat Lower Parel"", ""Amber Square BKC""]"
9034,Legacy Channel 34,"[""Powai"", ""Bandra East""]","[""Prism Walk Seawoods"", ""Saffron Park Thane West"", ""Eden Crest Kharghar"", ""Zenith Grove Lower Parel""]"
9035,Prime Estates 35,"[""Thane West"", ""Borivali"", ""Kandivali""]","[""Marina Arena Borivali"", ""Willow Bay Mahalaxmi"", ""Orchid Residences Seawoods""]"
9036,Apex Partners 36,"[""Vikhroli"", ""Chembur"", ""Lower Parel"", ""Vikhroli""]","[""Palm County Ghatkopar"", ""Pearl Towers Goregaon"", ""Harbor Habitat Borivali"", ""Amber Square Mahalaxmi""]"
9037,Nexus Realty 37,"[""Andheri West"", ""Dadar""]","[""Nova Gateway Mulund"", ""Prism Walk Wadala"", ""Saffron Park Ghatkopar""]"
9038,Pinnacle Brokers 38,"[""Bandra East"", ""Ghatkopar"", ""Powai""]","[""Emerald Gardens Vikhroli"", ""Marina Arena Airoli"", ""Willow Bay Mulund"", ""Orchid Residences Wadala""]"
9039,Urban Homes 39,"[""Borivali"", ""Kandivali"", ""Thane West"", ""Borivali""]","[""Crescent One Juhu"", ""Palm County Andheri West"", ""Pearl Towers Vikhroli""]"
9040,Keystone Channel 40,"[""Chembur"", ""Lower Parel""]","[""Solace Estate Kurla"", ""Nova Gateway Chembur"", ""Prism Walk Juhu"", ""Saffron Park Andheri West""]"
9041,NorthStar Estates 41,"[""Dadar"", ""Mulund"", ""Andheri West""]","[""Ambrosia Heights Panvel"", ""Emerald Gardens Kandivali"", ""Marina Arena Kurla""]"
9042,Metro Partners 42,"[""Ghatkopar"", ""Powai"", ""Bandra East"", ""Ghatkopar""]","[""Cedar Enclave Nerul"", ""Crescent One Powai"", ""Palm County Panvel"", ""Pearl Towers Kandivali""]"
9043,Summit Realty 43,"[""Kandivali"", ""Thane West""]","[""Aurum Nest Bandra East"", ""Solace Estate Worli"", ""Nova Gateway Nerul""]"
9044,Legacy Brokers 44,"[""Lower Parel"", ""Vikhroli"", ""Chembur""]","[""Iris Plaza Dadar"", ""Ambrosia Heights Malad"", ""Emerald Gardens Bandra East"", ""Marina Arena Worli""]"
9045,Prime Homes 45,"[""Mulund"", ""Andheri West"", ""Dadar"", ""Mulund""]","[""Zenith Grove Lower Parel"", ""Cedar Enclave BKC"", ""Crescent One Dadar""]"
9046,Apex Channel 46,"[""Powai"", ""Bandra East""]","[""Maple Vista Thane West"", ""Aurum Nest Kharghar"", ""Solace Estate Lower Parel"", ""Nova Gateway BKC""]"
9047,Nexus Estates 47,"[""Thane West"", ""Borivali"", ""Kandivali""]","[""Amber Square Mahalaxmi"", ""Iris Plaza Seawoods"", ""Ambrosia Heights Thane West""]"
9048,Pinnacle Partners 48,"[""Vikhroli"", ""Chembur"", ""Lower Parel"", ""Vikhroli""]","[""Eden Crest Goregaon"", ""Zenith Grove Borivali"", ""Cedar Enclave Mahalaxmi"", ""Crescent One Seawoods""]"
9049,Urban Realty 49,"[""Andheri West"", ""Dadar""]","[""Orchid Residences Wadala"", ""Maple Vista Ghatkopar"", ""Aurum Nest Goregaon""]"
9050,Keystone Brokers 50,"[""Bandra East"", ""Ghatkopar"", ""Powai""]","[""Harbor Habitat Airoli"", ""Amber Square Mulund"", ""Iris Plaza Wadala"", ""Ambrosia Heights Ghatkopar""]"
9051,NorthStar Homes 51,"[""Borivali"", ""Kandivali"", ""Thane West"", ""Borivali""]","[""Saffron Park Andheri West"", ""Eden Crest Vikhroli"", ""Zenith Grove Airoli""]"
9052,Metro Channel 52,"[""Chembur"", ""Lower Parel""]","[""Willow Bay Chembur"", ""Orchid Residences Juhu"", ""Maple Vista Andheri West"", ""Aurum Nest Vikhroli""]"
9053,Summit Estates 53,"[""Dadar"", ""Mulund"", ""Andheri West""]","[""Pearl Towers Kandivali"", ""Harbor Habitat Kurla"", ""Amber Square Chembur""]"
9054,Legacy Partners 54,"[""Ghatkopar"", ""Powai"", ""Bandra East"", ""Ghatkopar""]","[""Prism Walk Powai"", ""Saffron Park Panvel"", ""Eden Crest Kandivali"", ""Zenith Grove Kurla""]"
9055,Prime Realty 55,"[""Kandivali"", ""Thane West""]","[""Marina Arena Worli"", ""Willow Bay Nerul"", ""Orchid Residences Powai""]"
9056,Apex Brokers 56,"[""Lower Parel"", ""Vikhroli"", ""Chembur""]","[""Palm County Malad"", ""Pearl Towers Bandra East"", ""Harbor Habitat Worli"", ""Amber Square Nerul""]"
9057,Nexus Homes 57,"[""Mulund"", ""Andheri West"", ""Dadar"", ""Mulund""]","[""Nova Gateway BKC"", ""Prism Walk Dadar"", ""Saffron Park Malad""]"
9058,Pinnacle Channel 58,"[""Powai"", ""Bandra East""]","[""Emerald Gardens Kharghar"", ""Marina Arena Lower Parel"", ""Willow Bay BKC"", ""Orchid Residences Dadar""]"
9059,Urban Estates 59,"[""Thane West"", ""Borivali"", ""Kandivali""]","[""Crescent One Seawoods"", ""Palm County Thane West"", ""Pearl Towers Kharghar""]"
9060,Keystone Partners 60,"[""Vikhroli"", ""Chembur"", ""Lower Parel"", ""Vikhroli""]","[""Solace Estate Borivali"", ""Nova Gateway Mahalaxmi"", ""Prism Walk Seawoods"", ""Saffron Park Thane West""]"
9061,NorthStar Realty 61,"[""Andheri West"", ""Dadar""]","[""Ambrosia Heights Ghatkopar"", ""Emerald Gardens Goregaon"", ""Marina Arena Borivali""]"
9062,Metro Brokers 62,"[""Bandra East"", ""Ghatkopar"", ""Powai""]","[""Cedar Enclave Mulund"", ""Crescent One Wadala"", ""Palm County Ghatkopar"", ""Pearl Towers Goregaon""]"
9063,Summit Homes 63,"[""Borivali"", ""Kandivali"", ""Thane West"", ""Borivali""]","[""Aurum Nest Vikhroli"", ""Solace Estate Airoli"", ""Nova Gateway Mulund""]"
9064,Legacy Channel 64,"[""Chembur"", ""Lower Parel""]","[""Iris Plaza Juhu"", ""Ambrosia Heights Andheri West"", ""Emerald Gardens Vikhroli"", ""Marina Arena Airoli""]"
9065,Prime Estates 65,"[""Dadar"", ""Mulund"", ""Andheri West""]","[""Zenith Grove Kurla"", ""Cedar Enclave Chembur"", ""Crescent One Juhu""]"
9066,Apex Partners 66,"[""Ghatkopar"", ""Powai"", ""Bandra East"", ""Ghatkopar""]","[""Maple Vista Panvel"", ""Aurum Nest Kandivali"", ""Solace Estate Kurla"", ""Nova Gateway Chembur""]"
9067,Nexus Realty 67,"[""Kandivali"", ""Thane West""]","[""Amber Square Nerul"", ""Iris Plaza Powai"", ""Ambrosia Heights Panvel""]"
9068,Pinnacle Brokers 68,"[""Lower Parel"", ""Vikhroli"", ""Chembur""]","[""Eden Crest Bandra East"", ""Zenith Grove Worli"", ""Cedar Enclave Nerul"", ""Crescent One Powai""]"
9069,Urban Homes 69,"[""Mulund"", ""Andheri West"", ""Dadar"", ""Mulund""]","[""Orchid Residences Dadar"", ""Maple Vista Malad"", ""Aurum Nest Bandra East""]"
9070,Keystone Channel 70,"[""Powai"", ""Bandra East""]","[""Harbor Habitat Lower Parel"", ""Amber Square BKC"", ""Iris Plaza Dadar"", ""Ambrosia Heights Malad""]"
9071,NorthStar Estates 71,"[""Thane West"", ""Borivali"", ""Kandivali""]","[""Saffron Park Thane West"", ""Eden Crest Kharghar"", ""Zenith Grove Lower Parel""]"
9072,Metro Partners 72,"[""Vikhroli"", ""Chembur"", ""Lower Parel"", ""Vikhroli""]","[""Willow Bay Mahalaxmi"", ""Orchid Residences Seawoods"", ""Maple Vista Thane West"", ""Aurum Nest Kharghar""]"
9073,Summit Realty 73,"[""Andheri West"", ""Dadar""]","[""Pearl Towers Goregaon"", ""Harbor Habitat Borivali"", ""Amber Square Mahalaxmi""]"
9074,Legacy Brokers 74,"[""Bandra East"", ""Ghatkopar"", ""Powai""]","[""Prism Walk Wadala"", ""Saffron Park Ghatkopar"", ""Eden Crest Goregaon"", ""Zenith Grove Borivali""]"
9075,Prime Homes 75,"[""Borivali"", ""Kandivali"", ""Thane West"", ""Borivali""]","[""Marina Arena Airoli"", ""Willow Bay Mulund"", ""Orchid Residences Wadala""]"
9076,Apex Channel 76,"[""Chembur"", ""Lower Parel""]","[""Palm County Andheri West"", ""Pearl Towers Vikhroli"", ""Harbor Habitat Airoli"", ""Amber Square Mulund""]"
9077,Nexus Estates 77,"[""Dadar"", ""Mulund"", ""Andheri West""]","[""Nova Gateway Chembur"", ""Prism Walk Juhu"", ""Saffron Park Andheri West""]"
9078,Pinnacle Partners 78,"[""Ghatkopar"", ""Powai"", ""Bandra East"", ""Ghatkopar""]","[""Emerald Gardens Kandivali"", ""Marina Arena Kurla"", ""Willow Bay Chembur"", ""Orchid Residences Juhu""]"
9079,Urban Realty 79,"[""Kandivali"", ""Thane West""]","[""Crescent One Powai"", ""Palm County Panvel"", ""Pearl Towers Kandivali""]"
9080,Keystone Brokers 80,"[""Lower Parel"", ""Vikhroli"", ""Chembur""]","[""Solace Estate Worli"", ""Nova Gateway Nerul"", ""Prism Walk Powai"", ""Saffron Park Panvel""]"
9081,NorthStar Homes 81,"[""Mulund"", ""Andheri West"", ""Dadar"", ""Mulund""]","[""Ambrosia Heights Malad"", ""Emerald Gardens Bandra East"", ""Marina Arena Worli""]"
9082,Metro Channel 82,"[""Powai"", ""Bandra East""]","[""Cedar Enclave BKC"", ""Crescent One Dadar"", ""Palm County Malad"", ""Pearl Towers Bandra East""]"
9083,Summit Estates 83,"[""Thane West"", ""Borivali"", ""Kandivali""]","[""Aurum Nest Kharghar"", ""Solace Estate Lower Parel"", ""Nova Gateway BKC""]"
9084,Legacy Partners 84,"[""Vikhroli"", ""Chembur"", ""Lower Parel"", ""Vikhroli""]","[""Iris Plaza Seawoods"", ""Ambrosia Heights Thane West"", ""Emerald Gardens Kharghar"", ""Marina Arena Lower Parel""]"
9085,Prime Realty 85,"[""Andheri West"", ""Dadar""]","[""Zenith Grove Borivali"", ""Cedar Enclave Mahalaxmi"", ""Crescent One Seawoods""]"
9086,Apex Brokers 86,"[""Bandra East"", ""Ghatkopar"", ""Powai""]","[""Maple Vista Ghatkopar"", ""Aurum Nest Goregaon"", ""Solace Estate Borivali"", ""Nova Gateway Mahalaxmi""]"
9087,Nexus Homes 87,"[""Borivali"", ""Kandivali"", ""Thane West"", ""Borivali""]","[""Amber Square Mulund"", ""Iris Plaza Wadala"", ""Ambrosia Heights Ghatkopar""]"
9088,Pinnacle Channel 88,"[""Chembur"", ""Lower Parel""]","[""Eden Crest Vikhroli"", ""Zenith Grove Airoli"", ""Cedar Enclave Mulund"", ""Crescent One Wadala""]"
9089,Urban Estates 89,"[""Dadar"", ""Mulund"", ""Andheri West""]","[""Orchid Residences Juhu"", ""Maple Vista Andheri West"", ""Aurum Nest Vikhroli""]"
9090,Keystone Partners 90,"[""Ghatkopar"", ""Powai"", ""Bandra East"", ""Ghatkopar""]","[""Harbor Habitat Kurla"", ""Amber Square Chembur"", ""Iris Plaza Juhu"", ""Ambrosia Heights Andheri West""]"
9091,NorthStar Realty 91,"[""Kandivali"", ""Thane West""]","[""Saffron Park Panvel"", ""Eden Crest Kandivali"", ""Zenith Grove Kurla""]"
9092,Metro Brokers 92,"[""Lower Parel"", ""Vikhroli"", ""Chembur""]","[""Willow Bay Nerul"", ""Orchid Residences Powai"", ""Maple Vista Panvel"", ""Aurum Nest Kandivali""]"
9093,Summit Homes 93,"[""Mulund"", ""Andheri West"", ""Dadar"", ""Mulund""]","[""Pearl Towers Bandra East"", ""Harbor Habitat Worli"", ""Amber Square Nerul""]"
9094,Legacy Channel 94,"[""Powai"", ""Bandra East""]","[""Prism Walk Dadar"", ""Saffron Park Malad"", ""Eden Crest Bandra East"", ""Zenith Grove Worli""]"
9095,Prime Estates 95,"[""Thane West"", ""Borivali"", ""Kandivali""]","[""Marina Arena Lower Parel"", ""Willow Bay BKC"", ""Orchid Residences Dadar""]"
9096,Apex Partners 96,"[""Vikhroli"", ""Chembur"", ""Lower Parel"", ""Vikhroli""]","[""Palm County Thane West"", ""Pearl Towers Kharghar"", ""Harbor Habitat Lower Parel"", ""Amber Square BKC""]"
9097,Nexus Realty 97,"[""Andheri West"", ""Dadar""]","[""Nova Gateway Mahalaxmi"", ""Prism Walk Seawoods"", ""Saffron Park Thane West""]"
9098,Pinnacle Brokers 98,"[""Bandra East"", ""Ghatkopar"", ""Powai""]","[""Emerald Gardens Goregaon"", ""Marina Arena Borivali"", ""Willow Bay Mahalaxmi"", ""Orchid Residences Seawoods""]"
9099,Urban Homes 99,"[""Borivali"", ""Kandivali"", ""Thane West"", ""Borivali""]","[""Crescent One Wadala"", ""Palm County Ghatkopar"", ""Pearl Towers Goregaon""]"
9100,Keystone Channel 100,"[""Chembur"", ""Lower Parel""]","[""Solace Estate Airoli"", ""Nova Gateway Mulund"", ""Prism Walk Wadala"", ""Saffron Park Ghatkopar""]"
